key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Talk[0],Talk[1],Talk[2],Talk[3],Talk[4],Talk[5]
int32,bit&01,bit&01,bit&01,bit&01,bit&01,bit&01,byte,byte,byte,byte,byte,byte,uint32,uint32,uint32,uint32,uint32,uint32,sbyte,sbyte,sbyte,sbyte,sbyte,sbyte,sbyte,sbyte,sbyte,sbyte,sbyte,sbyte,int32,int32,int32,int32,int32,int32,str,str,str,str,str,str
0,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0","0","0","0","0"
1,False,False,False,False,False,False,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,"帶來了嗎？","謝謝！","哦……真遺憾……","0","0","0"
2,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"我的委託完成了？","太好了！","還沒有嗎……","還能再多給我點嗎？","那到時候再和我說一下吧！","已經足夠了！非常感謝你！"
3,True,True,True,True,True,True,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,"你就是接下了任務的工匠吧？委託的物品完成了嗎？
我知道你們冒險者都很忙，不過我這邊也有壓力啊。","太謝謝了！
看起來品質很不錯嘛，你的手藝還真不一般。
給，這是委託的報酬。","好吧……看來你也盡力了……
我還以為用理符來進行委託會有好結果呢。","0","0","0"
4,True,True,True,True,True,True,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,"哦？你就是行會派來的冒險者工匠嗎？
我等你好久了，委託的物品都準備好了嗎？","太好了！多謝你的幫忙。
這裡是一點心意，應該對你會有所幫助。","是嗎……太遺憾了……
沒關係，還有些時間，我也不希望看到你趕工導致品質下降的結果。","0","0","0"
5,True,True,True,True,True,True,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,"您就是之前聯繫過來的工匠師傅吧。
繁星預示了您的到來，請問委託物品準備得如何了？","真是出色的做工啊，出自您手的成品果然毫無問題。
那麼我就收下了，這裡是對您的感謝之禮。","嗯……是這樣嗎……
如果有什麼為難之處請儘管開口，
我們會提供相應的幫助。","另外，這位師傅，
我這裡還有些追加的委託……
您能繼續嗎？","好吧，看來您也有很多不方便的情況。
等有閒暇之時還請來通告一聲。","真是萬分感謝。"
6,True,True,True,True,True,True,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,"你終於來了！
我們跳過客套話時間吧，給我看看你的成果。","看來還不錯嘛。我就知道你不會讓我失望。
給你，這是你的報酬。","那就快去做啊！
做完之後再過來吧，閒話就免了。","我這裡還有些追加委託，有興趣嗎？
對你來說應該是小意思，怎麼樣？","好吧，想好了就隨時來找我。
不過其他什麼雜七雜八的事我可沒興趣。","多謝了。
能起到作用的冒險者都是好傢伙，隨時過來吧。"
7,True,True,True,True,True,True,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,"原來是你領取了我們委託的理符任務啊。
先對你的協力表示感謝。
那麼就請將委託的物品交來吧。","嗯……確實是我們所委託的物品。
品質相當不錯，真是太漂亮了。
我代表我們全體隊員向你表示感謝。","什麼？還沒有準備好？
我們全隊都急需那些物品。
你多拖延一秒我們就多一秒危險。","0","0","0"
